ESP32,U,,,,
Pin,Name,Type,Side,Unit,Style
1,VDD_ANA,pwr,left,1,
2,LNA_IN,analog,right,1,
3,VDD_3P3,pwr,left,1,
4,VDD_3P3,pwr,left,1,
5,SENSOR_VP,in,left,1,
6,SENSOR_CAPP,in,left,1,
7,SENSOR_CAPN,in,left,1,
8,SENSOR_VN,in,left,1,
9,CHIP_PU,in,left,1,
10,VDET_1,in,left,1,
11,VDET_2,in,left,1,
12,32K_XP,io,left,1,
13,32K_XN,io,left,1,
14,GPIO25,io,right,1,
15,GPIO26,io,right,1,
16,GPIO27,io,right,1,
17,MTMS,io,right,1,
18,MTDI,io,right,1,
19,VDD_RTC,pwr,right,1,
20,MTCK,io,right,1,
21,MTDO,io,right,1,
22,GPIO2,io,right,1,
23,GPIO0,io,right,1,
24,GPIO4,io,right,1,
25,GPIO16,io,right,1,
26,VDD_SDIO,pwr,left,1,
27,GPIO17,io,right,1,
28,SD_DATA_2,io,right,1,
29,SD_DATA_3,io,right,1,
30,SD_CMD,io,right,1,
31,SD_CLK,io,right,1,
32,SD_DATA_0,io,right,1,
33,SD_DATA_1,io,right,1,
34,GPIO5,io,right,1,
35,GPIO18,io,right,1,
36,GPIO23,io,right,1,
37,VDD_CPU,pwr,left,1,
38,GPIO19,io,right,1,
39,GPIO22,io,right,1,
40,U0RXD,io,left,1,
41,U0TXD,io,left,1,
42,GPIO21,io,right,1,
43,VDDA_ANA,pwr,left,1,
44,XTAL_N,passive,left,1,
45,XTAL_P,passive,left,1,
46,VDDA_PLL,pwr,left,1,
47,CAP2,passive,left,1,
48,CAP1,passive,left,1,
49,GND,pwr,left,1,
,,,,,
ESP32_QUAD,U,,,,
Pin,Name,Type,Side,Unit,Style
1,VDD_ANA,pwr,left,1,
2,LNA_IN,analog,left,1,
3,VDD_3P3,pwr,left,1,
4,VDD_3P3,pwr,left,1,
5,SENSOR_VP,in,left,1,
6,SENSOR_CAPP,in,left,1,
7,SENSOR_CAPN,in,left,1,
8,SENSOR_VN,in,left,1,
9,CHIP_PU,in,left,1,
10,VDET_1,in,left,1,
11,VDET_2,in,left,1,
12,32K_XP,io,left,1,
13,32K_XN,io,bottom,1,
14,GPIO25,io,bottom,1,
15,GPIO26,io,bottom,1,
16,GPIO27,io,bottom,1,
17,MTMS,io,bottom,1,
18,MTDI,io,bottom,1,
19,VDD_RTC,pwr,bottom,1,
20,MTCK,io,bottom,1,
21,MTDO,io,bottom,1,
22,GPIO2,io,bottom,1,
23,GPIO0,io,bottom,1,
24,GPIO4,io,bottom,1,
25,GPIO16,io,right,1,
26,VDD_SDIO,pwr,right,1,
27,GPIO17,io,right,1,
28,SD_DATA_2,io,right,1,
29,SD_DATA_3,io,right,1,
30,SD_CMD,io,right,1,
31,SD_CLK,io,right,1,
32,SD_DATA_0,io,right,1,
33,SD_DATA_1,io,right,1,
34,GPIO5,io,right,1,
35,GPIO18,io,right,1,
36,GPIO23,io,right,1,
37,VDD_CPU,pwr,top,1,
38,GPIO19,io,top,1,
39,GPIO22,io,top,1,
40,U0RXD,io,top,1,
41,U0TXD,io,top,1,
42,GPIO21,io,top,1,
43,VDDA_ANA,pwr,top,1,
44,XTAL_N,passive,top,1,
45,XTAL_P,passive,top,1,
46,VDDA_PLL,pwr,top,1,
47,CAP2,passive,top,1,
48,CAP1,passive,top,1,
49,GND_PAD,pwr,left,2,
,,,,,
ESP32-WROOM,U,,,,
Pin,Name,Type,Side,Unit,Style
1,GND,pwr,left,1,
2,3V3,pwr,left,1,
3,EN,in,left,1,
4,SENSOR_VP,in,left,1,
5,SENSOR_VN,in,left,1,
6,IO34,io,left,1,
7,IO35,io,left,1,
8,IO32,io,left,1,
9,IO33,io,left,1,
10,IO25,io,left,1,
11,IO26,in,left,1,
12,IO27,io,left,1,
13,IO14,io,left,1,
14,IO12,io,left,1,
15,GND,pwr,bottom,1,
16,IO13,io,bottom,1,
17,SD2,io,bottom,1,
18,SD3,io,bottom,1,
19,CMD,io,bottom,1,
20,CLK,io,bottom,1,
21,SDO,io,bottom,1,
22,SD1,io,bottom,1,
23,IO15,io,bottom,1,
24,IO2,io,bottom,1,
25,IO0,io,right,1,
26,IO4,io,right,1,
27,IO16,io,right,1,
28,IO17,io,right,1,
29,IO5,io,right,1,
30,IO18,io,right,1,
31,IO19,io,right,1,
32,NC,nc,right,1,
33,IO21,io,right,1,
34,RXD0,io,right,1,
35,TXD0,io,right,1,
36,IO22,io,right,1,
37,IO23,io,right,1,
38,GND,pwr,right,1,
39,GND-PAD,pwr,right,1,
,,,,,
ESP3212,U,,,,
Pin,Name,Type,Side,Unit,Style
1,GND,pwr,left,1,
2,EN,in,left,1,
3,SENSOR_VP,in,left,1,
4,SENSOR_VN,in,left,1,
5,IO34,io,left,1,
6,IO35,io,left,1,
7,IO32,io,left,1,
8,IO33,io,left,1,
9,IO25,io,left,1,
10,IO26,io,left,1,
11,IO27,io,left,1,
12,IO14,io,bottom,1,
13,IO12,io,bottom,1,
14,IO13,io,bottom,1,
15,IO15,io,bottom,1,
16,GND,pwr,bottom,1,
17,IO2,io,bottom,1,
18,IO0,io,bottom,1,
19,IO4,io,bottom,1,
20,IO16,io,bottom,1,
21,3V3,pwr,right,1,
22,IO17,io,right,1,
23,IO5,io,right,1,
24,IO18,io,right,1,
25,IO23,io,right,1,
26,IO19,io,right,1,
27,IO22,io,right,1,
28,U0RXD,io,right,1,
29,U0TXD,io,right,1,
30,IO21,io,right,1,
31,GND,pwr,right,1,
